                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.5291,                 2.1525,                0.87901,                0.92425,                      1,                  0.995,                 0.4975,                 2.2565,                 2.1561,                0.71916,              0.0016535,              0.0016535,              0.0016535
                     37,                 1.5538,                 1.7903,                0.87188,                0.92425,                      1,                  0.995,                 0.4975,                 2.2565,                 2.1561,                0.71916,              0.0016436,              0.0016436,              0.0016436
                     38,                 1.4237,                 1.8457,                0.81555,                0.93293,                      1,                  0.995,                 0.4975,                 2.0748,                 1.9917,                0.70811,              0.0016337,              0.0016337,              0.0016337
                     39,                  1.385,                 1.8697,                0.85839,                0.94223,                      1,                  0.995,                  0.597,                 1.7303,                 1.7252,                0.67597,              0.0016238,              0.0016238,              0.0016238
                     40,                 1.5061,                 1.6398,                0.82093,                0.93654,                      1,                  0.995,                  0.597,                 1.5065,                 1.7363,                0.63624,              0.0016139,              0.0016139,              0.0016139
                     41,                 1.6874,                 1.6893,                 0.8589,                0.93654,                      1,                  0.995,                  0.597,                 1.5065,                 1.7363,                0.63624,               0.001604,               0.001604,               0.001604
                     42,                 1.4193,                 1.4821,                 0.8506,                0.92116,                      1,                  0.995,                 0.4975,                  1.587,                 1.9926,                0.64288,              0.0015941,              0.0015941,              0.0015941
                     43,                  1.298,                 1.4629,                0.81721,                0.93669,                      1,                  0.995,                  0.597,                 1.9562,                 1.8099,                0.67174,              0.0015842,              0.0015842,              0.0015842
                     44,                 1.7209,                 1.6206,                0.88335,                0.94048,                      1,                  0.995,                 0.4975,                 2.2824,                 1.9442,                0.73132,              0.0015743,              0.0015743,              0.0015743
                     45,                 1.7671,                 1.6342,                0.90002,                0.94048,                      1,                  0.995,                 0.4975,                 2.2824,                 1.9442,                0.73132,              0.0015644,              0.0015644,              0.0015644
                     46,                 1.7167,                 2.2972,                0.90086,                 0.9293,                      1,                  0.995,                  0.398,                 2.2451,                 1.8248,                0.72532,              0.0015545,              0.0015545,              0.0015545
                     47,                  1.326,                 1.4481,                 0.8359,                0.93656,                      1,                  0.995,                 0.6965,                 1.4931,                 1.5214,                 0.6501,              0.0015446,              0.0015446,              0.0015446
                     48,                 1.6424,                 1.5991,                0.89654,                0.94351,                      1,                  0.995,                 0.6965,                 1.1586,                  1.229,                0.62492,              0.0015347,              0.0015347,              0.0015347
                     49,                 1.4345,                  1.522,                0.82138,                0.94351,                      1,                  0.995,                 0.6965,                 1.1586,                  1.229,                0.62492,              0.0015248,              0.0015248,              0.0015248
                     50,                 1.5557,                 1.5904,                0.84813,                0.95153,                      1,                  0.995,                 0.6965,                 1.2034,                 1.1735,                0.62794,              0.0015149,              0.0015149,              0.0015149
                     51,                  1.431,                 1.3442,                0.83084,                0.95352,                      1,                  0.995,                 0.6965,                 1.0822,                 1.1882,                0.61702,               0.001505,               0.001505,               0.001505
                     52,                 1.3359,                 1.3695,                0.86265,                0.94948,                      1,                  0.995,                  0.796,                0.97889,                 1.3601,                0.62016,              0.0014951,              0.0014951,              0.0014951
                     53,                 1.4024,                  1.493,                0.85601,                0.94948,                      1,                  0.995,                  0.796,                0.97889,                 1.3601,                0.62016,              0.0014852,              0.0014852,              0.0014852
                     54,                 1.4361,                 1.1719,                0.79772,                0.95377,                      1,                  0.995,                 0.6965,                 1.3689,                 1.3885,                0.63386,              0.0014753,              0.0014753,              0.0014753
                     55,                 1.5759,                 1.4881,                0.87308,                0.95186,                      1,                  0.995,                 0.6965,                 1.3451,                 1.3579,                0.62721,              0.0014654,              0.0014654,              0.0014654
                     56,                 1.4901,                 1.2162,                0.84559,                0.94834,                      1,                  0.995,                  0.796,                 1.0196,                 1.2745,                0.60678,              0.0014555,              0.0014555,              0.0014555
                     57,                 1.2884,                 1.2073,                0.88717,                0.94834,                      1,                  0.995,                  0.796,                 1.0196,                 1.2745,                0.60678,              0.0014456,              0.0014456,              0.0014456
                     58,                 1.6689,                 1.3163,                  0.874,                0.94036,                      1,                  0.995,                 0.6965,                0.93648,                 1.3922,                0.60686,              0.0014357,              0.0014357,              0.0014357
                     59,                 1.3926,                 1.4284,                0.82838,                0.92996,                      1,                  0.995,                 0.8955,                  1.069,                 1.5632,                0.62375,              0.0014258,              0.0014258,              0.0014258
                     60,                 1.7201,                 1.4461,                0.86535,                0.94029,                      1,                  0.995,                 0.8955,                 1.0578,                 1.5652,                0.63479,              0.0014159,              0.0014159,              0.0014159
                     61,                 1.2641,                 1.0712,                0.84468,                0.94029,                      1,                  0.995,                 0.8955,                 1.0578,                 1.5652,                0.63479,               0.001406,               0.001406,               0.001406
                     62,                 1.1462,                 1.2743,                0.83693,                0.95785,                      1,                  0.995,                 0.6965,                 1.3908,                 1.4203,                0.64576,              0.0013961,              0.0013961,              0.0013961
                     63,                 1.2488,                 1.6063,                0.79411,                0.96002,                      1,                  0.995,                 0.6965,                 1.3385,                 1.3089,                0.63455,              0.0013862,              0.0013862,              0.0013862
                     64,                 1.3736,                 1.1515,                0.85969,                 0.9474,                      1,                  0.995,                  0.796,                 1.0901,                 1.3722,                0.61568,              0.0013763,              0.0013763,              0.0013763
                     65,                 1.4157,                 1.2139,                0.90179,                 0.9474,                      1,                  0.995,                  0.796,                 1.0901,                 1.3722,                0.61568,              0.0013664,              0.0013664,              0.0013664
                     66,                 1.3284,                 1.1003,                0.84987,                0.94293,                      1,                  0.995,                  0.796,                 1.2249,                 1.4594,                0.62294,              0.0013565,              0.0013565,              0.0013565
                     67,                  1.139,                 1.2059,                0.81815,                0.95885,                      1,                  0.995,                  0.597,                 1.6032,                 1.3842,                0.65701,              0.0013466,              0.0013466,              0.0013466
                     68,                 1.6451,                 1.4352,                0.90719,                 0.9679,                      1,                  0.995,                  0.597,                 1.7741,                 1.4065,                0.68542,              0.0013367,              0.0013367,              0.0013367
                     69,                 1.3618,                 1.1387,                0.84232,                 0.9679,                      1,                  0.995,                  0.597,                 1.7741,                 1.4065,                0.68542,              0.0013268,              0.0013268,              0.0013268
                     70,                 1.2322,                 1.3292,                0.77429,                0.96845,                      1,                  0.995,                 0.6965,                 1.6335,                 1.3565,                0.67408,              0.0013169,              0.0013169,              0.0013169
                     71,                  1.389,                 1.0748,                0.83738,                0.96635,                      1,                  0.995,                  0.796,                 1.2316,                 1.3564,                0.63561,               0.001307,               0.001307,               0.001307
                     72,                 1.1808,                 0.9595,                0.85187,                0.96465,                      1,                  0.995,                 0.8955,                0.99383,                 1.3454,                0.61976,              0.0012971,              0.0012971,              0.0012971
                     73,                 1.5231,                 1.0815,                0.88033,                0.96465,                      1,                  0.995,                 0.8955,                0.99383,                 1.3454,                0.61976,              0.0012872,              0.0012872,              0.0012872
