                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    156,                 1.1809,                0.71933,                0.82766,                0.96746,                      1,                  0.995,                 0.6965,                 1.5334,                0.93811,                0.63966,              0.0004655,              0.0004655,              0.0004655
                    157,                 1.2057,                0.76346,                0.81081,                0.96746,                      1,                  0.995,                 0.6965,                 1.5334,                0.93811,                0.63966,              0.0004556,              0.0004556,              0.0004556
                    158,                 1.2565,                0.72397,                 0.8376,                0.96645,                      1,                  0.995,                 0.6965,                 1.5323,                0.93935,                0.64139,              0.0004457,              0.0004457,              0.0004457
                    159,                 1.3203,                0.66184,                0.88345,                0.96661,                      1,                  0.995,                 0.6965,                 1.4618,                0.92774,                0.63804,              0.0004358,              0.0004358,              0.0004358
                    160,                 1.1604,                0.67746,                0.84976,                0.96689,                      1,                  0.995,                  0.796,                 1.3693,                0.90574,                0.63458,              0.0004259,              0.0004259,              0.0004259
                    161,                 1.1507,                0.63585,                0.90551,                0.96689,                      1,                  0.995,                  0.796,                 1.3693,                0.90574,                0.63458,               0.000416,               0.000416,               0.000416
                    162,                 1.1021,                0.65558,                0.88776,                0.96785,                      1,                  0.995,                  0.796,                 1.3081,                0.87905,                0.63385,              0.0004061,              0.0004061,              0.0004061
                    163,                 1.3508,                0.84669,                0.79451,                 0.9689,                      1,                  0.995,                  0.796,                 1.3379,                0.84494,                0.63507,              0.0003962,              0.0003962,              0.0003962
                    164,                 1.0735,                0.66834,                0.79711,                 0.9627,                      1,                  0.995,                 0.6965,                 1.3475,                0.82904,                0.63475,              0.0003863,              0.0003863,              0.0003863
                    165,                 1.3268,                0.75295,                0.85909,                 0.9627,                      1,                  0.995,                 0.6965,                 1.3475,                0.82904,                0.63475,              0.0003764,              0.0003764,              0.0003764
                    166,                 1.3743,                0.81026,                0.79171,                0.96311,                      1,                  0.995,                 0.6965,                 1.3825,                0.81048,                0.63424,              0.0003665,              0.0003665,              0.0003665
                    167,                  1.136,                0.67381,                0.87527,                0.96331,                      1,                  0.995,                 0.6965,                 1.4335,                0.77265,                0.63385,              0.0003566,              0.0003566,              0.0003566
                    168,                 1.2452,                0.66686,                0.84052,                0.96844,                      1,                  0.995,                 0.6965,                 1.4719,                0.74222,                0.63322,              0.0003467,              0.0003467,              0.0003467
                    169,                 1.0657,                0.60732,                0.79818,                0.96844,                      1,                  0.995,                 0.6965,                 1.4719,                0.74222,                0.63322,              0.0003368,              0.0003368,              0.0003368
                    170,                 1.2078,                0.64638,                0.84034,                0.96777,                      1,                  0.995,                 0.6965,                 1.4502,                0.72551,                0.62934,              0.0003269,              0.0003269,              0.0003269
                    171,                  1.139,                 0.6266,                 0.8657,                0.96646,                      1,                  0.995,                 0.6965,                 1.4689,                0.73019,                0.62943,               0.000317,               0.000317,               0.000317
                    172,                 1.3724,                0.66063,                0.85533,                0.96617,                      1,                  0.995,                 0.6965,                 1.5042,                0.72576,                0.63138,              0.0003071,              0.0003071,              0.0003071
                    173,                 1.0875,                0.89951,                0.79348,                0.96617,                      1,                  0.995,                 0.6965,                 1.5042,                0.72576,                0.63138,              0.0002972,              0.0002972,              0.0002972
                    174,                 1.3478,                0.70558,                0.85275,                0.96636,                      1,                  0.995,                 0.6965,                 1.5351,                0.73493,                0.63364,              0.0002873,              0.0002873,              0.0002873
                    175,                 1.0494,                 0.6071,                0.83383,                0.96587,                      1,                  0.995,                 0.6965,                 1.5603,                0.75851,                0.63577,              0.0002774,              0.0002774,              0.0002774
                    176,                0.89704,                0.63368,                0.77064,                0.96664,                      1,                  0.995,                 0.6965,                 1.5569,                0.77032,                 0.6354,              0.0002675,              0.0002675,              0.0002675
                    177,                 1.1816,                0.65107,                0.78468,                0.96664,                      1,                  0.995,                 0.6965,                 1.5569,                0.77032,                 0.6354,              0.0002576,              0.0002576,              0.0002576
                    178,                 1.1409,                0.73768,                0.81228,                0.96746,                      1,                  0.995,                 0.6965,                 1.5441,                0.76864,                0.63437,              0.0002477,              0.0002477,              0.0002477
                    179,                 1.2487,                0.65687,                 0.8283,                0.96768,                      1,                  0.995,                 0.6965,                 1.5009,                0.76625,                0.63132,              0.0002378,              0.0002378,              0.0002378
                    180,                0.92357,                0.64444,                0.81836,                0.96788,                      1,                  0.995,                 0.6965,                 1.4464,                0.76829,                0.62853,              0.0002279,              0.0002279,              0.0002279
                    181,                 1.1678,                0.65319,                0.84211,                0.96788,                      1,                  0.995,                 0.6965,                 1.4464,                0.76829,                0.62853,               0.000218,               0.000218,               0.000218
                    182,                 1.1223,                0.69851,                0.82635,                0.96786,                      1,                  0.995,                 0.6965,                 1.3599,                0.75968,                0.62421,              0.0002081,              0.0002081,              0.0002081
                    183,                 1.2095,                0.62526,                0.82174,                 0.9676,                      1,                  0.995,                  0.796,                 1.3004,                0.75034,                0.62251,              0.0001982,              0.0001982,              0.0001982
                    184,                0.76466,                0.73638,                0.57183,                0.96735,                      1,                  0.995,                  0.796,                 1.2833,                0.74363,                0.62245,              0.0001883,              0.0001883,              0.0001883
                    185,                 1.2948,                 1.0966,                0.84446,                0.96735,                      1,                  0.995,                  0.796,                 1.2833,                0.74363,                0.62245,              0.0001784,              0.0001784,              0.0001784
                    186,                 1.1205,                0.58009,                0.84348,                0.96695,                      1,                  0.995,                  0.796,                 1.2736,                0.73747,                0.62221,              0.0001685,              0.0001685,              0.0001685
                    187,                 1.0038,                0.62165,                0.85193,                0.96654,                      1,                  0.995,                 0.6965,                 1.2886,                0.73101,                0.62288,              0.0001586,              0.0001586,              0.0001586
                    188,                 1.1571,                0.61588,                0.86834,                0.96671,                      1,                  0.995,                 0.6965,                 1.3326,                0.73074,                0.62504,              0.0001487,              0.0001487,              0.0001487
                    189,                  1.283,                0.59013,                  0.834,                0.96671,                      1,                  0.995,                 0.6965,                 1.3326,                0.73074,                0.62504,              0.0001388,              0.0001388,              0.0001388
                    190,                 1.2253,                0.62919,                  0.849,                0.96632,                      1,                  0.995,                 0.6965,                 1.3686,                0.73287,                0.62666,              0.0001289,              0.0001289,              0.0001289
                    191,                 1.1605,                0.68519,                0.80964,                0.96658,                      1,                  0.995,                 0.6965,                 1.4001,                0.73231,                0.62769,               0.000119,               0.000119,               0.000119
                    192,                 1.0681,                0.70392,                0.85827,                0.96624,                      1,                  0.995,                 0.6965,                 1.4222,                0.73287,                0.62821,              0.0001091,              0.0001091,              0.0001091
                    193,                 1.1299,                0.67304,                0.78486,                0.96624,                      1,                  0.995,                 0.6965,                 1.4222,                0.73287,                0.62821,               9.92e-05,               9.92e-05,               9.92e-05
                    194,                 1.1088,                0.74222,                0.76214,                0.96586,                      1,                  0.995,                 0.6965,                  1.434,                0.73095,                0.62826,               8.93e-05,               8.93e-05,               8.93e-05
                    195,                 1.1196,                0.72634,                0.77915,                0.96591,                      1,                  0.995,                 0.6965,                 1.4458,                0.72594,                0.62803,               7.94e-05,               7.94e-05,               7.94e-05
                    196,                 1.1176,                 0.7176,                  0.822,                0.96561,                      1,                  0.995,                 0.6965,                 1.4626,                 0.7218,                0.62839,               6.95e-05,               6.95e-05,               6.95e-05
                    197,                 1.1225,                0.74961,                0.82078,                0.96561,                      1,                  0.995,                 0.6965,                 1.4626,                 0.7218,                0.62839,               5.96e-05,               5.96e-05,               5.96e-05
                    198,                 1.2881,                0.80227,                0.82447,                0.96614,                      1,                  0.995,                 0.6965,                 1.4785,                0.72015,                0.62895,               4.97e-05,               4.97e-05,               4.97e-05
                    199,                 1.1775,                0.69182,                 0.7952,                  0.966,                      1,                  0.995,                 0.6965,                 1.4868,                0.72593,                0.62916,               3.98e-05,               3.98e-05,               3.98e-05
                    200,                  1.204,                0.64606,                 0.8261,                0.96576,                      1,                  0.995,                 0.6965,                 1.4872,                0.72773,                0.62889,               2.99e-05,               2.99e-05,               2.99e-05
